i,y
1,1.9301267449428001
2,3.1288726391840687
3,2.48384198586454
4,2.6666224915290524
5,3.342503135771123
6,1.7664972282240534
8,2.5590742652990808
9,2.26516204809617
10,2.9060002778485474
11,3.6225386098884207
12,1.581058350285679
13,3.571711683988959
14,2.8735420157287206
15,2.1171043844836888
16,2.473514344599897
17,2.997796490528742
18,2.0561571216592127
19,3.1358629187383302
20,2.7227001264215285
21,2.520725203686167
22,1.9606040363609485
23,3.2390308329804913
24,2.3743560827331995
25,2.872964451235104
26,2.965163829424723
27,2.718043191218782
28,1.95879942647817
29,1.7562453345663287
30,2.9109282674258683
31,3.135680475267873
32,1.6444244427246484
33,2.455225239722811
34,2.6843127788703023
35,2.9358641750017993
36,3.0158971887580313
37,2.612373598222481
38,2.640343768891215
39,3.2937796652476323
40,3.444914583496718
41,2.269509025764373
42,3.254815724098196
44,2.627615140632813
45,1.8282403441173978
46,1.2358173125151954
48,2.913095525498382
49,1.8307328045784037
50,3.21263884509075
51,2.9530888664267394
52,2.4732976352138105
55,2.1851618020315744
56,3.3241863005341203
57,2.7477619234120154
58,3.409280202749664
59,2.3649883106288923
60,3.0165101374691057
61,3.4519601458094256
62,1.674903329779143
63,1.7537805758133689
65,3.640373142020401
66,1.7744571585155118
67,2.2150393519390597
68,3.545977191166131
69,2.406850955787492
70,2.519572468201045
71,2.7324934663304585
72,2.6598291182059177
73,2.457927263421316
74,3.6266900106132143
75,2.1463488112044367
76,3.105931831513801
77,2.8588268501772163
78,3.6931779491746353
79,2.4369858413205785
80,1.4920396900796857
81,2.7157490319422743
82,3.2047920741678944
83,1.4163552471607737
84,2.559806817355701
85,2.334445404239172
86,1.9925732514551067
87,2.5200385488986554
88,2.640864076583096
89,2.6246802266090965
90,2.1407388380056536
91,2.081972665376734
92,2.8232147339742064
93,2.6974830752148637
94,3.362495637535383
95,2.153115060755783
96,3.6849698397518003
97,3.5609572034332824
98,3.124119345599945
99,3.108062083914242
100,1.6965676593729264
101,2.179601565197578
102,3.5137853136544788
104,3.3605816371391812
105,2.49640000988348
106,2.6238532397047933
108,2.103563840038427
110,3.2428811867419696
111,3.529966586702666
112,3.456241157477354
113,2.2278476018860958
114,3.3610804675425094
115,1.5371426904915215
116,3.170741623604801
117,2.941634642819421
118,2.2644326841093942
119,2.9569641447400428
120,2.466719428374651
121,2.7759625225864717
122,2.184119460748523
123,1.5124317491550725
124,3.038194521479622
125,3.2064849844898777
126,1.7052787303566435
127,3.1984563295739985
129,2.1288108222303204
130,1.561631194940729
131,3.3271303525033393
132,3.062107928092737
133,2.806984168760858
134,2.845275361994283
135,2.194471243661411
137,2.7339423575440263
138,3.3014516487317316
139,3.0234478698654246
140,1.953070341208361
141,2.474786281434158
142,2.2536295609362713
143,2.469501162085761
144,3.8629363150788434
145,3.8011393274870797
146,2.90893053525865
147,1.7979425648421512
148,2.0138419375310175
149,3.4130153345067535
150,3.039904190666688
151,2.4238176724061495
152,3.2168586181382794
153,2.256861487760839
154,2.843471787781204
155,3.2699200493451537
156,3.823691571455286
157,2.323719825917178
158,3.2606328029809135
159,2.4560103549895778
163,3.1243387467309733
164,3.634351668647369
165,3.0090443309987793
166,3.652223171979218
167,3.3647797699043696
168,3.986343380092027
169,2.425250391739725
170,3.7713459970245142
171,2.6882578178559613
172,2.9703529998004363
173,3.207426874374195
174,2.4277349281129323
175,3.627903112718907
176,2.0396798367474607
177,3.600399761272752
178,2.605362448406608
179,3.07182681756075
180,2.708326282486181
181,2.9551772494080746
182,3.2788796452903197
185,2.4264489906589093
187,3.233103977790809
188,2.685129696892666
189,3.090870377193995
190,2.7534329083863507
191,1.1850784595231927
192,1.4472760586169173
193,2.862144663253504
194,1.5372041843443185
196,2.947314679357965
197,2.0923555131815528
198,2.063680897659351
199,2.373203135948295
200,3.6707588784551772
201,2.708470111169131
202,2.1400396190527604
203,3.512930415438891
204,3.015103720463494
205,2.0378268234729187
206,2.498671620932188
207,3.1072892271225476
208,3.8571832186683848
209,2.1435276924530595
210,3.466500090797004
211,2.7982697733513584
212,2.412498699457918
213,2.665523150622966
214,2.6910663960949983
215,3.0386171118496486
216,1.53367213625663
217,2.957415153871353
218,2.679466566196629
220,1.5261974926056945
221,3.042283710819337
222,1.4943957954438951
223,2.210770558011154
224,2.821703710982764
225,2.7366881835605623
227,2.8763988119929627
228,2.5166906853119455
229,2.2322929626252597
230,2.913727507888897
231,3.176532630696218
232,3.4948841101455312
233,3.261216246181802
234,2.5260287296417183
235,3.2657291314366006
236,3.021971912473325
237,3.9651822218762103
238,3.1242328312266947
239,2.104685943718898
240,4.028532166961868
241,1.7088637914046676
242,1.7517383170183163
243,2.774307561197464
244,2.46940235917105
245,3.2175273761311933
246,2.71052016725277
247,2.5053830914331305
248,1.895352869000131
249,2.039189928743111
250,1.4212057571893406
252,3.3821888193250933
253,2.136092756779748
254,3.7424379664305034
255,2.504195386084149
256,3.091576389352649
257,2.5284974941707796
260,1.787291531964749
261,2.532751072983496
263,2.827899747164813
264,2.3459155932769518
267,2.861439243039399
268,2.0191362315906742
270,2.6862325761199566
271,2.1376966048505746
272,2.801121031736803
273,1.43229951560185
275,1.998461023232637
276,2.696412969050537
277,3.646436898935047
279,2.9172884635723246
280,2.3373706688415736
281,2.7462936792206967
282,2.713348351973017
283,1.5722076247684522
284,2.3710884548828313
285,2.691817697793012
286,1.7667941331831132
288,3.517918547932257
289,2.7672122149955847
290,3.2173536671291814
291,1.5800804525083842
292,2.8243145747891827
293,2.9091557433270374
294,2.392725218454374
295,2.4820562630880807
297,3.115118091072756
298,2.081572867335682
299,2.258841482616683
300,2.1211811990042118
301,2.267673453021384
302,1.9305163272883379
303,1.8068366601185608
304,1.764225289202031
305,2.599217045969758
306,2.9641843909685472
307,2.453914195740411
308,2.8896885955912657
309,2.2000883645695692
310,2.5549788145534413
311,2.948439287213426
312,3.126205684739614
313,2.0739732925730814
314,3.0597102198410835
315,2.3572361521543526
317,2.0930640489272303
318,1.7516881725440017
319,2.5901327316469067
320,1.8825460786103627
322,2.095655110312189
323,1.6376302550627
324,2.5088650331741755
325,2.293782404623603
326,2.1800692236653143
327,3.8787656945902826
329,1.8975543238884498
330,1.4924468182945207
332,1.7940635315638414
333,3.2617993209182474
334,3.4139869819852184
335,2.064303725089687
336,2.6734969011312875
337,2.2709643182346504
338,3.51251477564361
339,2.138246419208871
340,2.0792523523963737
341,3.0331573131502627
342,2.6313049373809476
343,2.742759512143385
344,3.2715866656065655
345,1.9020560129355384
346,2.2004706162847487
347,3.344419907853108
348,3.058575210614895
349,2.866304019835717
350,3.2090758672744246
353,2.9339797359057322
354,3.260461795969515
355,2.3207052146488207
356,3.072317467342754
357,2.95933678925456
358,3.215147997943872
359,2.070878572322725
360,2.981817038954405
361,2.6950939616964957
362,2.4537802035214122
363,2.3351168428932
364,2.0931077379074905
365,2.4372266835409127
366,2.2784456661875114
367,2.9224536537380033
368,2.992172804672912
369,3.33952117153671
370,1.4367732360414796
371,1.6175573828747165
372,3.0273135906002073
373,3.6935779564423923
374,3.799959358090814
375,2.1966647169817164
377,2.7427819449007695
378,3.54888034445917
379,3.0594002312270714
380,3.2671330704125556
381,1.722458022713486
382,1.7430217208927985
383,3.0719398116852576
384,2.4354308126420703
